ts,o,h,l,c,v,funding,borrow,liq,depeg,oi
1769136300,89788.71,89817.78,89655.41,89663.48,42.0739,0.00001722,0.00005000,0.5000,0.000000,1000000
1769137200,89663.47,89805.44,89646.18,89805.44,63.7148,0.00001722,0.00005000,0.5000,0.000000,1000000
1769138100,89805.44,89908.03,89805.43,89897.74,72.1147,0.00001722,0.00005000,0.5000,0.000000,1000000
1769139000,89897.75,89924.78,89805.43,89894.28,52.0668,0.00001722,0.00005000,0.5000,0.000000,1000000
1769139900,89894.29,89924.78,89853.81,89924.78,73.1879,0.00001722,0.00005000,0.5000,0.000000,1000000
1769140800,89924.78,90076.92,89871.73,90076.90,174.6571,0.00001722,0.00005000,0.5000,0.000000,1000000
1769141700,90076.90,90088.94,89957.55,89985.48,112.0796,0.00001722,0.00005000,0.5000,0.000000,1000000
1769142600,89985.48,90038.58,89910.00,89983.04,66.0814,0.00001722,0.00005000,0.5000,0.000000,1000000
1769143500,89983.04,90036.57,89965.42,89965.42,78.1045,0.00001722,0.00005000,0.5000,0.000000,1000000
1769144400,89965.43,89969.02,89851.04,89886.16,78.5686,0.00001722,0.00005000,0.5000,0.000000,1000000
1769145300,89886.17,89886.17,89528.88,89646.22,130.7489,0.00001722,0.00005000,0.5000,0.000000,1000000
1769146200,89646.22,89702.85,89618.22,89643.52,53.1313,0.00001722,0.00005000,0.5000,0.000000,1000000
1769147100,89643.53,89678.52,89473.99,89616.03,98.4385,0.00001722,0.00005000,0.5000,0.000000,1000000
1769148000,89616.04,89799.36,89552.73,89733.50,162.0311,0.00001722,0.00005000,0.5000,0.000000,1000000
1769148900,89733.51,89758.88,89400.00,89473.16,102.8488,0.00001722,0.00005000,0.5000,0.000000,1000000
1769149800,89473.16,89661.96,89473.16,89655.74,90.0162,0.00001722,0.00005000,0.5000,0.000000,1000000
1769150700,89655.73,89658.81,89497.66,89509.59,95.2703,0.00001722,0.00005000,0.5000,0.000000,1000000
1769151600,89509.59,89573.24,89474.00,89550.59,135.0314,0.00001722,0.00005000,0.5000,0.000000,1000000
1769152500,89550.59,89686.40,89550.59,89642.22,70.2704,0.00001722,0.00005000,0.5000,0.000000,1000000
1769153400,89642.22,89685.43,89542.97,89580.98,137.2538,0.00001722,0.00005000,0.5000,0.000000,1000000
1769154300,89580.97,89622.00,89447.52,89549.45,145.1856,0.00001722,0.00005000,0.5000,0.000000,1000000
1769155200,89549.45,89632.18,89490.00,89552.21,85.2328,0.00001722,0.00005000,0.5000,0.000000,1000000
1769156100,89552.21,89569.03,89327.33,89332.78,128.5216,0.00001722,0.00005000,0.5000,0.000000,1000000
1769157000,89332.79,89398.99,89133.35,89359.76,226.7199,0.00001722,0.00005000,0.5000,0.000000,1000000
1769157900,89359.77,89424.95,89183.99,89221.46,103.7180,0.00001722,0.00005000,0.5000,0.000000,1000000
1769158800,89221.46,89388.71,89206.00,89238.57,79.8368,0.00001722,0.00005000,0.5000,0.000000,1000000
1769159700,89238.56,89238.57,89010.77,89165.65,166.8078,0.00001722,0.00005000,0.5000,0.000000,1000000
1769160600,89165.65,89182.81,88908.83,89009.73,200.3099,0.00001722,0.00005000,0.5000,0.000000,1000000
1769161500,89009.74,89010.01,88897.81,88977.72,185.4126,0.00001722,0.00005000,0.5000,0.000000,1000000
1769162400,88977.72,89083.29,88860.44,89049.83,79.7822,0.00001722,0.00005000,0.5000,0.000000,1000000
1769163300,89049.84,89132.58,89000.46,89103.00,59.8931,0.00001722,0.00005000,0.5000,0.000000,1000000
1769164200,89102.99,89133.38,88977.31,89127.97,90.5258,0.00001722,0.00005000,0.5000,0.000000,1000000
