ts,o,h,l,c,v,funding,borrow,liq,depeg,oi
1769635500,89181.76,89219.58,89150.00,89178.99,11.7294,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769635800,89178.99,89188.12,89068.13,89086.20,12.9172,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769636100,89086.20,89320.81,89071.85,89314.53,38.6392,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769636400,89314.53,89490.24,89314.53,89426.09,50.7326,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769636700,89426.08,89426.09,89318.90,89398.83,16.9147,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769637000,89398.84,89461.42,89389.36,89461.41,12.3737,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769637300,89461.42,89478.01,89402.01,89412.17,22.2144,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769637600,89412.18,89479.04,89404.92,89416.31,24.3585,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769637900,89416.31,89447.13,89400.34,89425.90,8.0147,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769638200,89425.90,89426.63,89270.00,89292.61,12.9119,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769638500,89292.61,89292.61,89167.00,89200.35,16.7757,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769638800,89200.35,89200.35,89138.00,89174.31,14.7435,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769639100,89174.31,89285.78,89174.31,89285.77,7.2548,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769639400,89285.78,89300.00,89250.00,89250.01,6.6832,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769639700,89250.00,89250.00,89199.28,89215.65,14.6085,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769640000,89215.65,89259.63,89196.62,89259.62,9.1065,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769640300,89259.63,89310.05,89259.63,89309.99,11.5086,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769640600,89310.00,89355.59,89283.11,89355.59,16.2118,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769640900,89355.58,89415.50,89355.58,89396.15,14.0574,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769641200,89396.15,89454.00,89348.22,89429.01,29.0940,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769641500,89429.02,89429.02,89386.40,89410.01,18.5279,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769641800,89410.01,89420.08,89350.02,89350.02,15.7902,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769642100,89350.01,89471.41,89346.00,89447.46,15.6279,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769642400,89447.46,89471.41,89400.00,89423.07,11.9999,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769642700,89423.07,89423.08,89260.14,89298.18,10.4261,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769643000,89298.17,89335.90,89250.00,89256.26,9.2135,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769643300,89256.26,89279.74,89228.84,89228.84,16.4321,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769643600,89228.84,89313.55,89209.48,89313.55,29.2333,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769643900,89313.54,89399.36,89300.00,89312.58,16.3008,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769644200,89312.58,89323.28,89249.75,89268.48,7.1095,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769644500,89268.48,89346.69,89234.78,89299.99,53.3942,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769644800,89300.00,89348.00,89144.52,89144.52,30.7407,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769645100,89144.53,89219.98,89128.00,89143.91,41.4892,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769645400,89143.91,89165.43,89100.00,89100.01,35.7903,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769645700,89100.00,89110.80,89058.43,89077.85,47.6299,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769646000,89077.85,89149.58,89028.08,89149.57,28.5674,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769646300,89149.58,89149.58,89006.03,89032.57,64.3521,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769646600,89032.58,89143.92,89032.58,89143.91,21.6164,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769646900,89143.92,89149.96,89009.97,89110.79,16.7154,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769647200,89110.79,89118.67,88963.62,88969.86,43.2938,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769647500,88969.85,89150.00,88900.00,89108.58,52.3107,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769647800,89108.57,89129.01,89025.22,89042.94,24.4507,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769648100,89042.94,89143.92,89000.00,89143.91,24.2564,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769648400,89143.92,89159.99,89092.95,89124.00,14.7383,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769648700,89123.99,89141.47,89032.24,89032.24,18.2146,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769649000,89032.25,89128.86,89012.42,89106.05,14.5278,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769649300,89106.72,89106.72,89011.08,89011.09,17.4714,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769649600,89011.10,89089.14,88985.65,88985.65,15.0994,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769649900,88985.64,88985.65,88613.09,88831.59,207.8303,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769650200,88831.50,88844.69,88753.15,88774.01,37.0411,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769650500,88774.01,88898.95,88735.60,88847.85,39.7375,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769650800,88847.86,88858.00,88767.86,88836.00,22.4924,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769651100,88836.00,88900.00,88629.03,88629.04,72.9230,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769651400,88629.04,88661.60,88550.00,88550.00,94.3078,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769651700,88550.01,88640.40,88548.87,88603.56,70.4275,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769652000,88603.56,88647.49,88461.53,88617.94,103.1447,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769652300,88617.94,88706.55,88588.51,88687.97,38.4116,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769652600,88687.96,88754.64,88618.67,88690.26,23.5453,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769652900,88690.26,88712.85,88569.77,88695.83,39.1525,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769653200,88695.82,88719.83,88590.00,88692.56,28.7642,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769653500,88692.57,88728.14,88610.33,88611.14,37.0453,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769653800,88611.14,88611.14,88022.09,88280.01,374.1753,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769654100,88280.01,88333.33,88174.61,88264.45,58.5478,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769654400,88264.45,88286.90,88132.18,88154.64,49.9914,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769654700,88154.64,88154.64,87833.86,87845.75,183.3307,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769655000,87845.76,87862.00,87727.86,87792.39,95.5893,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769655300,87792.39,87930.48,87704.00,87907.06,65.6532,-0.00003267,0.00005000,0.5000,0.000000,1000000
1769655600,87907.05,88025.91,87771.30,87981.83,138.5484,-0.00003267,0.00005000,0.5000,0.000000,1000000
